Date,Open,High,Low,Close
1990-12-25,871.47,871.47,871.47,871.47
1990-12-26,866.14,866.14,866.14,866.14
1990-12-27,866.16,866.16,866.16,866.16
1990-12-28,861.57,861.57,861.57,861.57
1990-12-31,858.72,858.72,858.72,858.72
1991-01-01,858.72,858.72,858.72,858.72
1991-01-02,851.35,851.35,851.35,851.35
1991-01-03,854.53,854.53,854.53,854.53
1991-01-04,864.27,864.27,864.27,864.27
1991-01-07,847.19,847.19,847.19,847.19
1991-01-08,842.12,842.12,842.12,842.12
1991-01-09,855.99,855.99,855.99,855.99
1991-01-10,846.31,846.31,846.31,846.31
1991-01-11,843.24,843.24,843.24,843.24
1991-01-14,818.5,818.5,818.5,818.5
1991-01-15,820.44,820.44,820.44,820.44
1991-01-16,821.34,821.34,821.34,821.34
1991-01-17,869.45,869.45,869.45,869.45
1991-01-18,862.65,862.65,862.65,862.65
1991-01-21,854.7,854.7,854.7,854.7
1991-01-22,848.71,848.71,848.71,848.71
1991-01-23,839.95,839.95,839.95,839.95
1991-01-24,852.09,852.09,852.09,852.09
1991-01-25,857.71,857.71,857.71,857.71
1991-01-28,858.5,858.5,858.5,858.5
1991-01-29,853.54,853.54,853.54,853.54
1991-01-30,867.21,867.21,867.21,867.21
1991-01-31,871.77,871.77,871.77,871.77
1991-02-01,871.68,871.68,871.68,871.68
1991-02-04,877.61,877.61,877.61,877.61
1991-02-05,883.56,883.56,883.56,883.56
1991-02-06,880.79,880.79,880.79,880.79
1991-02-07,889.81,889.81,889.81,889.81
1991-02-08,899.59,899.59,899.59,899.59
1991-02-11,914.85,914.85,914.85,914.85
1991-02-12,908.94,908.94,908.94,908.94
1991-02-13,916.72,916.72,916.72,916.72
1991-02-14,922.72,922.72,922.72,922.72
1991-02-15,934.79,934.79,934.79,934.79
1991-02-18,950.97,950.97,950.97,950.97
1991-02-19,957.05,957.05,957.05,957.05
1991-02-20,946.46,946.46,946.46,946.46
1991-02-21,948.9,948.9,948.9,948.9
1991-02-22,959.84,959.84,959.84,959.84
1991-02-25,971.27,971.27,971.27,971.27
1991-02-26,953.01,953.01,953.01,953.01
1991-02-27,956.15,956.15,956.15,956.15
1991-02-28,959.23,959.23,959.23,959.23
1991-03-01,948.8,948.8,948.8,948.8
1991-03-04,956.15,956.15,956.15,956.15
1991-03-05,963.97,963.97,963.97,963.97
1991-03-06,982.18,982.18,982.18,982.18
1991-03-07,983.63,983.63,983.63,983.63
1991-03-08,990.7,990.7,990.7,990.7
1991-03-11,979.89,979.89,979.89,979.89
1991-03-12,980.11,980.11,980.11,980.11
1991-03-13,969.17,969.17,969.17,969.17
1991-03-14,986.08,986.08,986.08,986.08
1991-03-15,982.29,982.29,982.29,982.29
1991-03-18,978.94,978.94,978.94,978.94
1991-03-19,972.89,972.89,972.89,972.89
1991-03-20,964.73,964.73,964.73,964.73
1991-03-21,970.5,970.5,970.5,970.5
1991-03-22,966.81,966.81,966.81,966.81
1991-03-25,969.86,969.86,969.86,969.86
1991-03-26,966.84,966.84,966.84,966.84
1991-03-27,971.07,971.07,971.07,971.07
1991-03-28,981.91,981.91,981.91,981.91
1991-03-29,982.08,982.08,982.08,982.08
1991-04-01,988.77,988.77,988.77,988.77
1991-04-02,985.68,985.68,985.68,985.68
1991-04-03,998.76,998.76,998.76,998.76
1991-04-04,995.97,995.97,995.97,995.97
1991-04-05,1002.3,1002.3,1002.3,1002.3
1991-04-08,995.14,995.14,995.14,995.14
1991-04-09,999.3,999.3,999.3,999.3
1991-04-10,988.82,988.82,988.82,988.82
1991-04-11,995.21,995.21,995.21,995.21
1991-04-12,1001.18,1001.18,1001.18,1001.18
1991-04-15,1006.18,1006.18,1006.18,1006.18
1991-04-16,1001.9,1001.9,1001.9,1001.9
1991-04-17,1012.74,1012.74,1012.74,1012.74
1991-04-18,1012.91,1012.91,1012.91,1012.91
1991-04-19,1007.43,1007.43,1007.43,1007.43
1991-04-22,995.36,995.36,995.36,995.36
1991-04-23,1004.69,1004.69,1004.69,1004.69
1991-04-24,1006.87,1006.87,1006.87,1006.87
1991-04-25,1013.64,1013.64,1013.64,1013.64
1991-04-26,998.46,998.46,998.46,998.46
1991-04-29,1006.89,1006.89,1006.89,1006.89
1991-04-30,1002.08,1002.08,1002.08,1002.08
1991-05-01,1004.74,1004.74,1004.74,1004.74
1991-05-02,1017.29,1017.29,1017.29,1017.29
1991-05-03,1018.24,1018.24,1018.24,1018.24
1991-05-06,1019.47,1019.47,1019.47,1019.47
1991-05-07,1019.77,1019.77,1019.77,1019.77
1991-05-08,1013.48,1013.48,1013.48,1013.48
1991-05-09,1015.16,1015.16,1015.16,1015.16
1991-05-10,1024.15,1024.15,1024.15,1024.15
1991-05-13,1015.48,1015.48,1015.48,1015.48
1991-05-14,1012.67,1012.67,1012.67,1012.67
1991-05-15,1004.96,1004.96,1004.96,1004.96
1991-05-16,1008.49,1008.49,1008.49,1008.49
1991-05-17,1004.86,1004.86,1004.86,1004.86
1991-05-20,1006.74,1006.74,1006.74,1006.74
1991-05-21,1015.4,1015.4,1015.4,1015.4
1991-05-22,1021.14,1021.14,1021.14,1021.14
1991-05-23,1020.26,1020.26,1020.26,1020.26
1991-05-24,1021.3,1021.3,1021.3,1021.3
1991-05-27,1023.97,1023.97,1023.97,1023.97
1991-05-28,1027.34,1027.34,1027.34,1027.34
1991-05-29,1031.32,1031.32,1031.32,1031.32
1991-05-30,1035.19,1035.19,1035.19,1035.19
1991-05-31,1045.52,1045.52,1045.52,1045.52
1991-06-03,1048.03,1048.03,1048.03,1048.03
1991-06-04,1044.26,1044.26,1044.26,1044.26
1991-06-05,1051.3,1051.3,1051.3,1051.3
1991-06-06,1045.72,1045.72,1045.72,1045.72
1991-06-07,1043.22,1043.22,1043.22,1043.22
1991-06-10,1042.47,1042.47,1042.47,1042.47
1991-06-11,1050.0,1050.0,1050.0,1050.0
1991-06-12,1041.42,1041.42,1041.42,1041.42
1991-06-13,1039.11,1039.11,1039.11,1039.11
1991-06-14,1047.25,1047.25,1047.25,1047.25
1991-06-17,1041.32,1041.32,1041.32,1041.32
1991-06-18,1037.89,1037.89,1037.89,1037.89
1991-06-19,1029.36,1029.36,1029.36,1029.36
1991-06-20,1024.79,1024.79,1024.79,1024.79
1991-06-21,1033.43,1033.43,1033.43,1033.43
1991-06-24,1020.52,1020.52,1020.52,1020.52
1991-06-25,1021.47,1021.47,1021.47,1021.47
1991-06-26,1014.97,1014.97,1014.97,1014.97
1991-06-27,1014.9,1014.9,1014.9,1014.9
1991-06-28,1003.15,1003.15,1003.15,1003.15
1991-07-01,1004.3,1004.3,1004.3,1004.3
1991-07-02,1001.04,1001.04,1001.04,1001.04
1991-07-03,993.27,993.27,993.27,993.27
1991-07-04,991.43,991.43,991.43,991.43
1991-07-05,999.65,999.65,999.65,999.65
1991-07-08,987.06,987.06,987.06,987.06
1991-07-09,996.24,996.24,996.24,996.24
1991-07-10,1006.27,1006.27,1006.27,1006.27
1991-07-11,999.48,999.48,999.48,999.48
1991-07-12,998.13,998.13,998.13,998.13
1991-07-15,1002.16,1002.16,1002.16,1002.16
1991-07-16,1002.52,1002.52,1002.52,1002.52
1991-07-17,995.75,995.75,995.75,995.75
1991-07-18,996.4,996.4,996.4,996.4
1991-07-19,1002.0,1002.0,1002.0,1002.0
1991-07-22,1003.19,1003.19,1003.19,1003.19
1991-07-23,1007.02,1007.02,1007.02,1007.02
1991-07-24,1004.49,1004.49,1004.49,1004.49
1991-07-25,1002.65,1002.65,1002.65,1002.65
1991-07-26,996.86,996.86,996.86,996.86
1991-07-29,996.31,996.31,996.31,996.31
1991-07-30,1000.15,1000.15,1000.15,1000.15
1991-07-31,1000.94,1000.94,1000.94,1000.94
1991-08-01,1003.75,1003.75,1003.75,1003.75
1991-08-02,1001.23,1001.23,1001.23,1001.23
1991-08-05,1002.24,1002.24,1002.24,1002.24
1991-08-06,995.93,995.93,995.93,995.93
1991-08-07,1006.09,1006.09,1006.09,1006.09
1991-08-08,1004.69,1004.69,1004.69,1004.69
1991-08-09,1003.49,1003.49,1003.49,1003.49
1991-08-12,1000.7,1000.7,1000.7,1000.7
1991-08-13,1008.87,1008.87,1008.87,1008.87
1991-08-14,1012.18,1012.18,1012.18,1012.18
1991-08-15,1012.9,1012.9,1012.9,1012.9
1991-08-16,1013.94,1013.94,1013.94,1013.94
1991-08-19,942.04,942.04,942.04,942.04
1991-08-20,962.69,962.69,962.69,962.69
1991-08-21,982.63,982.63,982.63,982.63
1991-08-22,1003.52,1003.52,1003.52,1003.52
1991-08-23,1007.05,1007.05,1007.05,1007.05
1991-08-26,1014.68,1014.68,1014.68,1014.68
1991-08-27,1013.34,1013.34,1013.34,1013.34
1991-08-28,1011.53,1011.53,1011.53,1011.53
1991-08-29,1014.31,1014.31,1014.31,1014.31
1991-08-30,1016.62,1016.62,1016.62,1016.62
1991-09-02,1016.78,1016.78,1016.78,1016.78
1991-09-03,1019.44,1019.44,1019.44,1019.44
1991-09-04,1018.78,1018.78,1018.78,1018.78
1991-09-05,1019.67,1019.67,1019.67,1019.67
1991-09-06,1017.57,1017.57,1017.57,1017.57
1991-09-09,1011.74,1011.74,1011.74,1011.74
1991-09-10,1006.09,1006.09,1006.09,1006.09
1991-09-11,1003.27,1003.27,1003.27,1003.27
1991-09-12,1006.92,1006.92,1006.92,1006.92
1991-09-13,1008.85,1008.85,1008.85,1008.85
1991-09-16,1009.76,1009.76,1009.76,1009.76
1991-09-17,1009.64,1009.64,1009.64,1009.64
1991-09-18,1012.61,1012.61,1012.61,1012.61
1991-09-19,1011.56,1011.56,1011.56,1011.56
1991-09-20,1012.54,1012.54,1012.54,1012.54
1991-09-23,1009.21,1009.21,1009.21,1009.21
1991-09-24,1014.21,1014.21,1014.21,1014.21
1991-09-25,1010.29,1010.29,1010.29,1010.29
1991-09-26,1009.44,1009.44,1009.44,1009.44
1991-09-27,1005.94,1005.94,1005.94,1005.94
1991-09-30,1007.0,1007.0,1007.0,1007.0
1991-10-01,1008.05,1008.05,1008.05,1008.05
1991-10-02,1005.32,1005.32,1005.32,1005.32
1991-10-03,1002.47,1002.47,1002.47,1002.47
1991-10-04,997.52,997.52,997.52,997.52
1991-10-07,994.86,994.86,994.86,994.86
1991-10-08,994.24,994.24,994.24,994.24
1991-10-09,988.02,988.02,988.02,988.02
1991-10-10,990.9,990.9,990.9,990.9
1991-10-11,989.88,989.88,989.88,989.88
1991-10-14,990.58,990.58,990.58,990.58
1991-10-15,1000.39,1000.39,1000.39,1000.39
1991-10-16,999.18,999.18,999.18,999.18
1991-10-17,998.53,998.53,998.53,998.53
1991-10-18,999.69,999.69,999.69,999.69
1991-10-21,999.81,999.81,999.81,999.81
1991-10-22,1003.45,1003.45,1003.45,1003.45
1991-10-23,1002.95,1002.95,1002.95,1002.95
1991-10-24,998.0,998.0,998.0,998.0
1991-10-25,992.65,992.65,992.65,992.65
1991-10-28,1002.02,1002.02,1002.02,1002.02
1991-10-29,1002.97,1002.97,1002.97,1002.97
1991-10-30,1000.52,1000.52,1000.52,1000.52
1991-10-31,1003.13,1003.13,1003.13,1003.13
1991-11-01,998.85,998.85,998.85,998.85
1991-11-04,994.85,994.85,994.85,994.85
1991-11-05,998.85,998.85,998.85,998.85
1991-11-06,994.26,994.26,994.26,994.26
1991-11-07,998.51,998.51,998.51,998.51
1991-11-08,1009.88,1009.88,1009.88,1009.88
1991-11-11,1009.75,1009.75,1009.75,1009.75
1991-11-12,1014.97,1014.97,1014.97,1014.97
1991-11-13,1016.98,1016.98,1016.98,1016.98
1991-11-14,1020.51,1020.51,1020.51,1020.51
1991-11-15,1021.82,1021.82,1021.82,1021.82
1991-11-18,1002.85,1002.85,1002.85,1002.85
1991-11-19,992.68,992.68,992.68,992.68
1991-11-20,994.3,994.3,994.3,994.3
1991-11-21,992.55,992.55,992.55,992.55
1991-11-22,993.93,993.93,993.93,993.93
1991-11-25,988.24,988.24,988.24,988.24
1991-11-26,994.34,994.34,994.34,994.34
1991-11-27,991.02,991.02,991.02,991.02
1991-11-28,990.57,990.57,990.57,990.57
1991-11-29,985.85,985.85,985.85,985.85
1991-12-02,974.07,974.07,974.07,974.07
1991-12-03,981.09,981.09,981.09,981.09
1991-12-04,980.16,980.16,980.16,980.16
1991-12-05,979.66,979.66,979.66,979.66
1991-12-06,973.94,973.94,973.94,973.94
1991-12-09,969.4,969.4,969.4,969.4
1991-12-10,960.99,960.99,960.99,960.99
1991-12-11,962.77,962.77,962.77,962.77
1991-12-12,969.05,969.05,969.05,969.05
1991-12-13,977.91,977.91,977.91,977.91
1991-12-16,978.27,978.27,978.27,978.27
1991-12-17,980.8,980.8,980.8,980.8
1991-12-18,986.11,986.11,986.11,986.11
1991-12-19,976.26,976.26,976.26,976.26
1991-12-20,963.56,963.56,963.56,963.56
1991-12-23,965.28,965.28,965.28,965.28
1991-12-24,976.29,976.29,976.29,976.29
1991-12-25,976.29,976.29,976.29,976.29
1991-12-26,977.88,977.88,977.88,977.88
1991-12-27,985.78,985.78,985.78,985.78
1991-12-30,996.85,996.85,996.85,996.85
1991-12-31,1000.0,1000.0,1000.0,1000.0
1992-01-01,1000.0,1000.0,1000.0,1000.0
1992-01-02,1004.03,1004.03,1004.03,1004.03
1992-01-03,1001.2,1001.2,1001.2,1001.2
1992-01-06,1014.3,1014.3,1014.3,1014.3
1992-01-07,1012.6,1012.6,1012.6,1012.6
1992-01-08,1004.03,1004.03,1004.03,1004.03
1992-01-09,1004.41,1004.41,1004.41,1004.41
1992-01-10,1020.41,1020.41,1020.41,1020.41
1992-01-13,1022.82,1022.82,1022.82,1022.82
1992-01-14,1028.99,1028.99,1028.99,1028.99
1992-01-15,1050.45,1050.45,1050.45,1050.45
1992-01-16,1050.79,1050.79,1050.79,1050.79
1992-01-17,1045.37,1045.37,1045.37,1045.37
1992-01-20,1048.98,1048.98,1048.98,1048.98
1992-01-21,1053.99,1053.99,1053.99,1053.99
1992-01-22,1046.64,1046.64,1046.64,1046.64
1992-01-23,1039.87,1039.87,1039.87,1039.87
1992-01-24,1040.46,1040.46,1040.46,1040.46
1992-01-27,1056.28,1056.28,1056.28,1056.28
1992-01-28,1055.7,1055.7,1055.7,1055.7
1992-01-29,1051.94,1051.94,1051.94,1051.94
1992-01-30,1051.31,1051.31,1051.31,1051.31
1992-01-31,1045.71,1045.71,1045.71,1045.71
1992-02-03,1056.81,1056.81,1056.81,1056.81
1992-02-04,1044.47,1044.47,1044.47,1044.47
1992-02-05,1058.12,1058.12,1058.12,1058.12
1992-02-06,1054.44,1054.44,1054.44,1054.44
1992-02-07,1061.81,1061.81,1061.81,1061.81
1992-02-10,1042.63,1042.63,1042.63,1042.63
1992-02-11,1046.78,1046.78,1046.78,1046.78
1992-02-12,1046.48,1046.48,1046.48,1046.48
1992-02-13,1051.15,1051.15,1051.15,1051.15
1992-02-14,1049.22,1049.22,1049.22,1049.22
1992-02-17,1047.65,1047.65,1047.65,1047.65
1992-02-18,1062.38,1062.38,1062.38,1062.38
1992-02-19,1058.04,1058.04,1058.04,1058.04
1992-02-20,1067.45,1067.45,1067.45,1067.45
1992-02-21,1066.58,1066.58,1066.58,1066.58
1992-02-24,1074.47,1074.47,1074.47,1074.47
1992-02-25,1065.91,1065.91,1065.91,1065.91
1992-02-26,1082.58,1082.58,1082.58,1082.58
1992-02-27,1088.49,1088.49,1088.49,1088.49
1992-02-28,1082.35,1082.35,1082.35,1082.35
1992-03-02,1083.9,1083.9,1083.9,1083.9
1992-03-03,1085.66,1085.66,1085.66,1085.66
1992-03-04,1090.92,1090.92,1090.92,1090.92
1992-03-05,1084.9,1084.9,1084.9,1084.9
1992-03-06,1081.98,1081.98,1081.98,1081.98
1992-03-09,1083.11,1083.11,1083.11,1083.11
1992-03-10,1083.76,1083.76,1083.76,1083.76
1992-03-11,1078.5,1078.5,1078.5,1078.5
1992-03-12,1071.09,1071.09,1071.09,1071.09
1992-03-13,1068.02,1068.02,1068.02,1068.02
1992-03-16,1067.11,1067.11,1067.11,1067.11
1992-03-17,1068.27,1068.27,1068.27,1068.27
1992-03-18,1066.09,1066.09,1066.09,1066.09
1992-03-19,1063.11,1063.11,1063.11,1063.11
1992-03-20,1070.82,1070.82,1070.82,1070.82
1992-03-23,1056.89,1056.89,1056.89,1056.89
1992-03-24,1056.71,1056.71,1056.71,1056.71
1992-03-25,1058.58,1058.58,1058.58,1058.58
1992-03-26,1062.19,1062.19,1062.19,1062.19
1992-03-27,1057.9,1057.9,1057.9,1057.9
1992-03-30,1060.79,1060.79,1060.79,1060.79
1992-03-31,1060.78,1060.78,1060.78,1060.78
1992-04-01,1058.37,1058.37,1058.37,1058.37
1992-04-02,1060.68,1060.68,1060.68,1060.68
1992-04-03,1061.76,1061.76,1061.76,1061.76
1992-04-06,1069.29,1069.29,1069.29,1069.29
1992-04-07,1073.69,1073.69,1073.69,1073.69
1992-04-08,1050.82,1050.82,1050.82,1050.82
1992-04-09,1054.29,1054.29,1054.29,1054.29
1992-04-10,1068.93,1068.93,1068.93,1068.93
1992-04-13,1065.04,1065.04,1065.04,1065.04
1992-04-14,1063.47,1063.47,1063.47,1063.47
1992-04-15,1078.97,1078.97,1078.97,1078.97
1992-04-16,1069.61,1069.61,1069.61,1069.61
1992-04-17,1069.99,1069.99,1069.99,1069.99
1992-04-20,1080.62,1080.62,1080.62,1080.62
1992-04-21,1079.94,1079.94,1079.94,1079.94
1992-04-22,1079.64,1079.64,1079.64,1079.64
1992-04-23,1079.33,1079.33,1079.33,1079.33
1992-04-24,1078.95,1078.95,1078.95,1078.95
1992-04-27,1079.55,1079.55,1079.55,1079.55
1992-04-28,1081.64,1081.64,1081.64,1081.64
1992-04-29,1084.76,1084.76,1084.76,1084.76
1992-04-30,1085.06,1085.06,1085.06,1085.06
1992-05-01,1082.71,1082.71,1082.71,1082.71
1992-05-04,1080.82,1080.82,1080.82,1080.82
1992-05-05,1085.05,1085.05,1085.05,1085.05
1992-05-06,1086.62,1086.62,1086.62,1086.62
1992-05-07,1088.98,1088.98,1088.98,1088.98
1992-05-08,1093.09,1093.09,1093.09,1093.09
1992-05-11,1098.9,1098.9,1098.9,1098.9
1992-05-12,1091.83,1091.83,1091.83,1091.83
1992-05-13,1089.26,1089.26,1089.26,1089.26
1992-05-14,1080.29,1080.29,1080.29,1080.29
1992-05-15,1087.94,1087.94,1087.94,1087.94
1992-05-18,1089.0,1089.0,1089.0,1089.0
1992-05-19,1091.1,1091.1,1091.1,1091.1
1992-05-20,1091.86,1091.86,1091.86,1091.86
1992-05-21,1093.37,1093.37,1093.37,1093.37
1992-05-22,1103.72,1103.72,1103.72,1103.72
1992-05-25,1108.28,1108.28,1108.28,1108.28
1992-05-26,1101.76,1101.76,1101.76,1101.76
1992-05-27,1098.2,1098.2,1098.2,1098.2
1992-05-28,1099.05,1099.05,1099.05,1099.05
1992-05-29,1105.18,1105.18,1105.18,1105.18
1992-06-01,1103.53,1103.53,1103.53,1103.53
1992-06-02,1101.27,1101.27,1101.27,1101.27
1992-06-03,1100.54,1100.54,1100.54,1100.54
1992-06-04,1097.85,1097.85,1097.85,1097.85
1992-06-05,1093.42,1093.42,1093.42,1093.42
1992-06-08,1092.5,1092.5,1092.5,1092.5
1992-06-09,1084.7,1084.7,1084.7,1084.7
1992-06-10,1086.09,1086.09,1086.09,1086.09
1992-06-11,1077.6,1077.6,1077.6,1077.6
1992-06-12,1078.4,1078.4,1078.4,1078.4
1992-06-15,1072.76,1072.76,1072.76,1072.76
1992-06-16,1077.18,1077.18,1077.18,1077.18
1992-06-17,1071.76,1071.76,1071.76,1071.76
1992-06-18,1063.92,1063.92,1063.92,1063.92
1992-06-19,1064.49,1064.49,1064.49,1064.49
1992-06-22,1062.09,1062.09,1062.09,1062.09
1992-06-23,1063.62,1063.62,1063.62,1063.62
1992-06-24,1061.28,1061.28,1061.28,1061.28
1992-06-25,1060.05,1060.05,1060.05,1060.05
1992-06-26,1062.84,1062.84,1062.84,1062.84
1992-06-29,1056.59,1056.59,1056.59,1056.59
1992-06-30,1056.93,1056.93,1056.93,1056.93
1992-07-01,1048.29,1048.29,1048.29,1048.29
1992-07-02,1057.98,1057.98,1057.98,1057.98
1992-07-03,1058.53,1058.53,1058.53,1058.53
1992-07-06,1053.35,1053.35,1053.35,1053.35
1992-07-07,1051.5,1051.5,1051.5,1051.5
1992-07-08,1047.16,1047.16,1047.16,1047.16
1992-07-09,1054.99,1054.99,1054.99,1054.99
1992-07-10,1057.89,1057.89,1057.89,1057.89
1992-07-13,1045.96,1045.96,1045.96,1045.96
1992-07-14,1044.81,1044.81,1044.81,1044.81
1992-07-15,1040.35,1040.35,1040.35,1040.35
1992-07-16,1045.6,1045.6,1045.6,1045.6
1992-07-17,1023.83,1023.83,1023.83,1023.83
1992-07-20,999.15,999.15,999.15,999.15
1992-07-21,998.51,998.51,998.51,998.51
1992-07-22,990.68,990.68,990.68,990.68
1992-07-23,989.85,989.85,989.85,989.85
1992-07-24,978.09,978.09,978.09,978.09
1992-07-27,983.31,983.31,983.31,983.31
1992-07-28,982.82,982.82,982.82,982.82
1992-07-29,989.34,989.34,989.34,989.34
1992-07-30,993.47,993.47,993.47,993.47
1992-07-31,988.96,988.96,988.96,988.96
1992-08-03,987.91,987.91,987.91,987.91
1992-08-04,992.34,992.34,992.34,992.34
1992-08-05,993.09,993.09,993.09,993.09
1992-08-06,997.54,997.54,997.54,997.54
1992-08-07,985.2,985.2,985.2,985.2
1992-08-10,975.41,975.41,975.41,975.41
1992-08-11,961.91,961.91,961.91,961.91
1992-08-12,957.61,957.61,957.61,957.61
1992-08-13,951.98,951.98,951.98,951.98
1992-08-14,963.84,963.84,963.84,963.84
1992-08-17,964.61,964.61,964.61,964.61
1992-08-18,956.36,956.36,956.36,956.36
1992-08-19,957.62,957.62,957.62,957.62
1992-08-20,955.68,955.68,955.68,955.68
1992-08-21,968.19,968.19,968.19,968.19
1992-08-24,941.72,941.72,941.72,941.72
1992-08-25,935.47,935.47,935.47,935.47
1992-08-26,933.84,933.84,933.84,933.84
1992-08-27,942.65,942.65,942.65,942.65
1992-08-28,943.43,943.43,943.43,943.43
1992-08-31,951.68,951.68,951.68,951.68
1992-09-01,945.84,945.84,945.84,945.84
1992-09-02,945.24,945.24,945.24,945.24
1992-09-03,964.86,964.86,964.86,964.86
1992-09-04,968.69,968.69,968.69,968.69
1992-09-07,964.0,964.0,964.0,964.0
1992-09-08,961.34,961.34,961.34,961.34
1992-09-09,957.87,957.87,957.87,957.87
1992-09-10,954.49,954.49,954.49,954.49
1992-09-11,966.2,966.2,966.2,966.2
1992-09-14,1005.61,1005.61,1005.61,1005.61
1992-09-15,992.17,992.17,992.17,992.17
1992-09-16,1018.38,1018.38,1018.38,1018.38
1992-09-17,1005.53,1005.53,1005.53,1005.53
1992-09-18,1036.18,1036.18,1036.18,1036.18
1992-09-21,1013.23,1013.23,1013.23,1013.23
1992-09-22,1020.47,1020.47,1020.47,1020.47
1992-09-23,1007.01,1007.01,1007.01,1007.01
1992-09-24,1009.94,1009.94,1009.94,1009.94
